timestamp,supi,state_desc,duration_minutes
2025-01-20 01:16:37,imsi-208930000000003,inactive,35.0
2025-01-20 01:51:37,imsi-208930000000003,active,130.0
2025-01-20 01:56:37,imsi-208930000000001,inactive,30.0
2025-01-20 02:26:37,imsi-208930000000001,active,95.0
2025-01-20 02:46:37,imsi-208930000000002,inactive,25.0
2025-01-20 03:11:37,imsi-208930000000002,active,65.0
2025-01-20 04:01:37,imsi-208930000000001,inactive,30.0
2025-01-20 04:01:37,imsi-208930000000003,inactive,30.0
2025-01-20 04:16:37,imsi-208930000000002,inactive,30.0
2025-01-20 04:31:37,imsi-208930000000003,active,65.0
2025-01-20 04:31:37,imsi-208930000000001,active,125.0
2025-01-20 04:46:37,imsi-208930000000002,active,110.0
2025-01-20 05:36:37,imsi-208930000000003,inactive,30.0
2025-01-20 06:06:37,imsi-208930000000003,active,65.0
2025-01-20 06:36:37,imsi-208930000000001,inactive,25.0
2025-01-20 06:36:37,imsi-208930000000002,inactive,30.0
2025-01-20 07:01:37,imsi-208930000000001,active,75.0
2025-01-20 07:06:37,imsi-208930000000002,active,70.0
2025-01-20 07:11:37,imsi-208930000000003,inactive,35.0
2025-01-20 07:46:37,imsi-208930000000003,active,130.0
2025-01-20 08:16:37,imsi-208930000000002,inactive,30.0
2025-01-20 08:16:37,imsi-208930000000001,inactive,25.0
2025-01-20 08:41:37,imsi-208930000000001,active,85.0
2025-01-20 08:46:37,imsi-208930000000002,active,120.0
2025-01-20 09:56:37,imsi-208930000000003,inactive,30.0
2025-01-20 10:06:37,imsi-208930000000001,inactive,30.0
2025-01-20 10:26:37,imsi-208930000000003,active,90.0
2025-01-20 10:36:37,imsi-208930000000001,active,105.0
2025-01-20 10:46:37,imsi-208930000000002,inactive,25.0
2025-01-20 11:11:37,imsi-208930000000002,active,100.0
2025-01-20 11:56:37,imsi-208930000000003,inactive,30.0
2025-01-20 12:21:37,imsi-208930000000001,inactive,30.0
2025-01-20 12:26:37,imsi-208930000000003,active,70.0
2025-01-20 12:51:37,imsi-208930000000001,active,105.0
2025-01-20 12:51:37,imsi-208930000000002,inactive,30.0
2025-01-20 13:21:37,imsi-208930000000002,active,90.0
2025-01-20 13:36:37,imsi-208930000000003,inactive,30.0
2025-01-20 14:06:37,imsi-208930000000003,active,125.0
2025-01-20 14:36:37,imsi-208930000000001,inactive,30.0
2025-01-20 14:51:37,imsi-208930000000002,inactive,30.0
2025-01-20 15:06:37,imsi-208930000000001,active,80.0
2025-01-20 15:21:37,imsi-208930000000002,active,80.0
2025-01-20 16:11:37,imsi-208930000000003,inactive,35.0
2025-01-20 16:26:37,imsi-208930000000001,inactive,25.0
2025-01-20 16:41:37,imsi-208930000000002,inactive,30.0
2025-01-20 16:46:37,imsi-208930000000003,active,125.0
2025-01-20 16:51:37,imsi-208930000000001,active,80.0
2025-01-20 17:11:37,imsi-208930000000002,active,100.0
2025-01-20 18:11:37,imsi-208930000000001,inactive,30.0
2025-01-20 18:41:37,imsi-208930000000001,active,130.0
2025-01-20 18:51:37,imsi-208930000000002,inactive,25.0
2025-01-20 18:51:37,imsi-208930000000003,inactive,30.0
2025-01-20 19:16:37,imsi-208930000000002,active,115.0
2025-01-20 19:21:37,imsi-208930000000003,active,70.0
2025-01-20 20:31:37,imsi-208930000000003,inactive,25.0
2025-01-20 20:51:37,imsi-208930000000001,inactive,30.0
2025-01-20 20:56:37,imsi-208930000000003,active,105.0
2025-01-20 21:11:37,imsi-208930000000002,inactive,25.0
2025-01-20 21:21:37,imsi-208930000000001,active,130.0
2025-01-20 21:36:37,imsi-208930000000002,active,80.0
2025-01-20 22:41:37,imsi-208930000000003,inactive,30.0
2025-01-20 22:56:37,imsi-208930000000002,inactive,30.0
2025-01-20 23:11:37,imsi-208930000000003,active,120.0
2025-01-20 23:26:37,imsi-208930000000002,active,95.0
2025-01-20 23:31:37,imsi-208930000000001,inactive,30.0
2025-01-21 00:01:37,imsi-208930000000001,active,90.0
2025-01-21 01:01:37,imsi-208930000000002,inactive,30.0
2025-01-21 01:11:37,imsi-208930000000003,inactive,30.0
2025-01-21 01:31:37,imsi-208930000000001,inactive,35.0
2025-01-21 01:31:37,imsi-208930000000002,active,100.0
2025-01-21 01:41:37,imsi-208930000000003,active,125.0
2025-01-21 02:06:37,imsi-208930000000001,active,75.0
2025-01-21 03:11:37,imsi-208930000000002,inactive,30.0
2025-01-21 03:21:37,imsi-208930000000001,inactive,30.0
2025-01-21 03:41:37,imsi-208930000000002,active,115.0
2025-01-21 03:46:37,imsi-208930000000003,inactive,30.0
2025-01-21 03:51:37,imsi-208930000000001,active,65.0
2025-01-21 04:16:37,imsi-208930000000003,active,90.0
2025-01-21 04:56:37,imsi-208930000000001,inactive,30.0
2025-01-21 05:26:37,imsi-208930000000001,active,85.0
2025-01-21 05:36:37,imsi-208930000000002,inactive,30.0
2025-01-21 05:46:37,imsi-208930000000003,inactive,30.0
2025-01-21 06:06:37,imsi-208930000000002,active,85.0
